x y d_n=1 d_n=3
1.56 0.175616 0.9577 0.9408
1.57 0.185193 0.9919 0.9747
1.58 0.195112 1.0267 1.0092
1.59 0.205379 1.0621 1.0443
1.6 0.216 1.0981 1.08
1.61 0.226981 1.1347 1.1163
1.62 0.238328 1.1719 1.1532
1.63 0.250047 1.2097 1.1907
1.64 0.262144 1.2481 1.2288
1.65 0.274625 1.2871 1.2675
1.66 0.287496 1.3267 1.3068
1.67 0.300763 1.3669 1.3467
1.68 0.314432 1.4077 1.3872
1.69 0.328509 1.4491 1.4283
1.7 0.343 1.4911 1.47
1.71 0.357911 1.5337 1.5123
1.72 0.373248 1.5769 1.5552
1.73 0.389017 1.6207 1.5987
1.74 0.405224 1.6651 1.6428
1.75 0.421875 1.7101 1.6875
1.76 0.438976 1.7557 1.7328
1.77 0.456533 1.8019 1.7787
1.78 0.474552 1.8487 1.8252
1.79 0.493039 1.8961 1.8723
1.8 0.512 1.9441 1.92
1.81 0.531441 1.9927 1.9683
1.82 0.551368 2.0419 2.0172
1.83 0.571787 2.0917 2.0667
1.84 0.592704 2.1421 2.1168
1.85 0.614125 2.1931 2.1675
1.86 0.636056 2.2447 2.2188
1.87 0.658503 2.2969 2.2707
1.88 0.681472 2.3497 2.3232
1.89 0.704969 2.4031 2.3763
1.9 0.729 2.4571 2.43
1.91 0.753571 2.5117 2.4843
1.92 0.778688 2.5669 2.5392
1.93 0.804357 2.6227 2.5947
1.94 0.830584 2.6791 2.6508
1.95 0.857375 2.7361 2.7075
1.96 0.884736 2.7937 2.7648
1.97 0.912673 2.8519 2.8227
1.98 0.941192 2.9107 2.8812
1.99 0.970299 2.9701 2.9403
2 1 3.0301 3
2.01 1.0303 3.0907 3.0603
2.02 1.06121 3.1519 3.1212
2.03 1.09273 3.2137 3.1827
2.04 1.12486 3.2761 3.2448
2.05 1.15763 3.3391 3.3075
2.06 1.19102 3.4027 3.3708
2.07 1.22504 3.4669 3.4347
2.08 1.25971 3.5317 3.4992
2.09 1.29503 3.5971 3.5643
2.1 1.331 3.6631 3.63
2.11 1.36763 3.7297 3.6963
2.12 1.40493 3.7969 3.7632
2.13 1.4429 3.8647 3.8307
2.14 1.48154 3.9331 3.8988
2.15 1.52087 4.0021 3.9675
2.16 1.5609 4.0717 4.0368
2.17 1.60161 4.1419 4.1067
2.18 1.64303 4.2127 4.1772
2.19 1.68516 4.2841 4.2483
2.2 1.728 4.3561 4.32
2.21 1.77156 4.4287 4.3923
2.22 1.81585 4.5019 4.4652
2.23 1.86087 4.5757 4.5387
2.24 1.90662 4.6501 4.6128
2.25 1.95312 4.7251 4.6875
2.26 2.00038 4.8007 4.7628
2.27 2.04838 4.8769 4.8387
2.28 2.09715 4.9537 4.9152
2.29 2.14669 5.0311 4.9923
2.3 2.197 5.1091 5.07
2.31 2.24809 5.1877 5.1483
2.32 2.29997 5.2669 5.2272
2.33 2.35264 5.3467 5.3067
2.34 2.4061 5.4271 5.3868
2.35 2.46037 5.5081 5.4675
2.36 2.51546 5.5897 5.5488
2.37 2.57135 5.6719 5.6307
2.38 2.62807 5.7547 5.7132
2.39 2.68562 5.8381 5.7963
2.4 2.744 5.9221 5.88
2.41 2.80322 6.0067 5.9643
2.42 2.86329 6.0919 6.0492
2.43 2.92421 6.1777 6.1347
2.44 2.98598 6.2641 6.2208
2.45 3.04862 6.3511 6.3075
2.46 3.11214 6.4387 6.3948
2.47 3.17652 6.5269 6.4827
2.48 3.24179 6.6157 6.5712
2.49 3.30795 6.7051 6.6603
2.5 3.375 6.7951 6.75
2.51 3.44295 6.8857 6.8403
2.52 3.51181 6.9769 6.9312
2.53 3.58158 7.0687 7.0227
2.54 3.65226 7.1611 7.1148
2.55 3.72387 7.2541 7.2075
2.56 3.79642 7.3477 7.3008
2.57 3.86989 7.4419 7.3947
2.58 3.94431 7.5367 7.4892
2.59 4.01968 7.6321 7.5843
2.6 4.096 7.7281 7.68
2.61 4.17328 7.8247 7.7763
2.62 4.25153 7.9219 7.8732
2.63 4.33075 8.0197 7.9707
2.64 4.41094 8.1181 8.0688
2.65 4.49212 8.2171 8.1675
2.66 4.5743 8.3167 8.2668
2.67 4.65746 8.4169 8.3667
2.68 4.74163 8.5177 8.4672
2.69 4.82681 8.6191 8.5683
2.7 4.913 8.7211 8.67
2.71 5.00021 8.8237 8.7723
2.72 5.08845 8.9269 8.8752
2.73 5.17772 9.0307 8.9787
2.74 5.26802 9.1351 9.0828
2.75 5.35937 9.2401 9.1875
2.76 5.45178 9.3457 9.2928
2.77 5.54523 9.4519 9.3987
2.78 5.63975 9.5587 9.5052
2.79 5.73534 9.6661 9.6123
2.8 5.832 9.7741 9.72
2.81 5.92974 9.8827 9.8283
2.82 6.02857 9.9919 9.9372
2.83 6.12849 10.1017 10.0467
2.84 6.2295 10.2121 10.1568
2.85 6.33162 10.3231 10.2675
2.86 6.43486 10.4347 10.3788
2.87 6.5392 10.5469 10.4907
2.88 6.64467 10.6597 10.6032
2.89 6.75127 10.7731 10.7163
2.9 6.859 10.8871 10.83
2.91 6.96787 11.0017 10.9443
2.92 7.07789 11.1169 11.0592
2.93 7.18906 11.2327 11.1747
2.94 7.30138 11.3491 11.2908
2.95 7.41487 11.4661 11.4075
2.96 7.52954 11.5837 11.5248
2.97 7.64537 11.7019 11.6427
2.98 7.76239 11.8207 11.7612
2.99 7.8806 11.9401 11.8803
3 8 12.0601 12
